cat_code,category1,category2,category3,category4,std_6,growth_rate_6,std_12,growth_rate_12,std_24,growth_rate_24,std_36,growth_rate_36,analyze_date,
50007263,여가/생활편의,렌터카,단기렌터카,,20.627488092928246,-2.373638936752136,18.189673061851558,-0.1958418833774434,16.90888965436034,-0.30485985138162797,15.880124245990425,-0.15939797896350627,2023-07-13,
50007262,여가/생활편의,렌터카,장기렌터카,,25.659700864144483,-2.764509200000001,24.413495568288898,-0.6978058191752754,18.684908466034713,0.1246618186279741,18.044907007814313,0.21508889794692676,2023-07-13,
50007296,여가/생활편의,생활편의,e쿠폰,게임/E머니,12.097864885897437,0.3601656000000011,15.81026872623254,0.7440218031247336,17.723514039794946,0.4833326921476582,18.981513790578635,0.33747862050544486,2023-07-13,
50007349,여가/생활편의,생활편의,e쿠폰,기타 e쿠폰,15.521186296321657,0.8958216102564115,12.29741635871134,0.39981436822334226,13.084577434875985,0.054435751306945515,17.93756510118438,0.11603644780389127,2023-07-13,
50007349,여가/생활편의,생활편의,e쿠폰,외식,15.521186296321657,0.8958216102564115,12.29741635871134,0.39981436822334226,13.084577434875985,0.054435751306945515,17.93756510118438,0.11603644780389127,2023-07-13,
50007297,여가/생활편의,생활편의,e쿠폰,기타 푸드/음료,16.07535549118231,-0.11063100170940121,11.97655602130711,0.11207526338256643,15.383510141080565,-0.3022544196628616,22.938460717545475,-0.4159179028622909,2023-07-13,
50007294,여가/생활편의,생활편의,e쿠폰,데이터/통화/문자,20.713482054421853,0.44550488888888995,18.53388769935716,0.0867239182959111,16.965993624198727,0.05169774261175718,16.49047567427933,0.029986460511134613,2023-07-13,
50007295,여가/생활편의,생활편의,e쿠폰,도서/문화상품권,18.956053571443164,-1.4643799863247862,15.036755353041636,0.20612808844873237,11.404662628216892,0.13387221087165266,10.07867862783086,0.10327679426593545,2023-07-13,
50007288,여가/생활편의,생활편의,e쿠폰,백화점/마트,12.751643433347125,-0.2836018735042718,20.886028361885074,0.7133840254418174,21.275306995397877,0.30191872916888973,23.126398661900787,0.3538445405319973,2023-07-13,
50007301,여가/생활편의,생활편의,e쿠폰,뷔페/레스토랑,11.940302767649042,-1.1054227999999993,11.773633224642499,-0.42235527576197385,15.288593081767145,0.041337651872399676,19.59342850896536,0.27647605421125,2023-07-13,
50007293,여가/생활편의,생활편의,e쿠폰,쇼핑몰상품권,23.075265617750297,0.028185404347825155,17.97133533751513,0.4341137824729895,15.512751302446002,0.3153369871247549,15.46915466355251,0.25848339108077234,2023-07-13,
50007292,여가/생활편의,생활편의,e쿠폰,아이스크림,7.947468854333072,0.030407736752137593,14.002347302697931,-0.39054027106633626,12.902310377170622,-0.07521034044596164,12.185421163784934,0.0005974601950341652,2023-07-13,
50007298,여가/생활편의,생활편의,e쿠폰,영화/공연관람권,18.1579389028119,1.254163217094018,24.011292540596717,0.4932108140527624,26.778979928929797,0.4813084124079804,26.530805764824503,0.4154601053563244,2023-07-13,
